Day,Month,Year,Obs,Sim
1,1,1952,100.201,114.0214621
2,1,1952,138.781,126.2769082
3,1,1952,136.81,126.6293231
4,1,1952,129.432,126.5245911
5,1,1952,133.332,115.6216025
6,1,1952,116.43,102.9899672
7,1,1952,101.177,90.6463693
8,1,1952,91.4141,90.88645401
9,1,1952,100.734,95.59327385
10,1,1952,112.48,104.375824
11,1,1952,136.779,103.7501542
12,1,1952,125.474,96.19822866
13,1,1952,109.667,96.99653625
14,1,1952,114.091,92.79890638
15,1,1952,107.471,88.12580891
16,1,1952,97.5051,89.35356475
17,1,1952,92.0016,92.7341078
18,1,1952,84.5831,88.97672284
19,1,1952,75.2301,82.34278623
20,1,1952,68.3525,74.3932455
21,1,1952,65.2408,66.16132094
22,1,1952,61.9829,74.73160922
23,1,1952,72.5973,74.77076453
24,1,1952,89.2002,71.22904909
25,1,1952,78.9092,66.50268047
26,1,1952,69.947,60.45813145
27,1,1952,59.8329,57.61506283
28,1,1952,55.9578,55.3781467
29,1,1952,56.5691,51.90442949
30,1,1952,56.8201,66.64243131
31,1,1952,115.435,70.15396728
1,2,1952,119.492,68.28875787
2,2,1952,98.2451,64.68522067
3,2,1952,79.8136,59.16662792
4,2,1952,68.9478,52.86035822
5,2,1952,62.9692,47.99658799
6,2,1952,57.9089,44.43103559
7,2,1952,56.6413,41.26830267
8,2,1952,53.4641,38.48119798
9,2,1952,48.1039,36.02668781
10,2,1952,45.6956,41.1161269
11,2,1952,51.0195,42.70433634
12,2,1952,57.6368,42.55705347
13,2,1952,50.6822,42.07827922
14,2,1952,47.8695,40.29649342
15,2,1952,47.1471,37.94409562
16,2,1952,43.4767,35.58483111
17,2,1952,40.5212,33.226139
18,2,1952,38.4542,31.08686252
19,2,1952,36.8827,29.1471535
20,2,1952,34.1509,27.3735872
21,2,1952,30.1495,25.75600419
22,2,1952,30.2924,24.316823
23,2,1952,28.4641,23.14724535
24,2,1952,26.9669,22.09979409
25,2,1952,25.6556,21.1550642
26,2,1952,24.6058,20.34075879
27,2,1952,24.7093,19.57701776
28,2,1952,23.3929,19.17010566
29,2,1952,22.7961,18.6284588
1,3,1952,22.6506,18.04513631
2,3,1952,23.8481,19.31937119
3,3,1952,24.5264,21.34101775
4,3,1952,24.195,26.84442146
5,3,1952,26.4471,28.4476206
6,3,1952,27.6807,31.42207913
7,3,1952,30.1511,32.91983702
8,3,1952,35.2086,31.4623058
9,3,1952,33.1217,29.77677792
10,3,1952,28.4862,27.42975376
11,3,1952,24.5336,25.06522277
12,3,1952,23.9143,22.93262376
13,3,1952,21.8698,21.14230826
14,3,1952,21.9251,19.69784666
15,3,1952,20.1655,19.02583638
16,3,1952,19.0987,18.31027107
17,3,1952,18.7565,17.48187087
18,3,1952,18.6314,16.67767464
19,3,1952,17.4932,18.23356739
20,3,1952,20.0268,18.62349889
21,3,1952,21.4159,19.80128386
22,3,1952,21.7455,19.89400874
23,3,1952,22.5429,20.421723
24,3,1952,24.0592,21.47560954
25,3,1952,23.7922,21.09162318
26,3,1952,20.1757,20.06150941
27,3,1952,15.8474,18.75989134
28,3,1952,12.3992,17.44496783
29,3,1952,8.70014,16.26334476
30,3,1952,8.53797,15.21534425
31,3,1952,8.81535,14.28699356
1,4,1952,8.9444,13.73006797
2,4,1952,10.8709,13.16568223
3,4,1952,11.9086,12.56789011
4,4,1952,12.3585,14.2332485
5,4,1952,13.7156,15.87394507
6,4,1952,15.4041,16.53744671
7,4,1952,16.0272,16.07457223
8,4,1952,15.4914,15.12624987
9,4,1952,14.1139,16.76468585
10,4,1952,14.5614,18.41007351
11,4,1952,15.9245,18.84200291
12,4,1952,16.1958,18.02667788
13,4,1952,15.2497,16.71150454
14,4,1952,14.5123,15.5811849
15,4,1952,13.2705,14.62441026
16,4,1952,12.6277,13.77151473
17,4,1952,12.474,12.94421016
18,4,1952,11.9113,12.07523918
19,4,1952,11.5982,11.8093933
20,4,1952,10.511,12.81452253
21,4,1952,9.90038,15.22595602
22,4,1952,10.6416,16.71738481
23,4,1952,10.8538,16.51196092
24,4,1952,10.0768,15.74333093
25,4,1952,10.2075,14.91573521
26,4,1952,11.6627,13.88332213
27,4,1952,11.8856,12.70211405
28,4,1952,11.8788,11.74286915
29,4,1952,11.4875,11.20721007
30,4,1952,10.4992,11.30052343
1,5,1952,10.52,11.31529873
2,5,1952,10.7617,12.39497139
3,5,1952,10.3423,13.640269
4,5,1952,11.4375,13.70840599
5,5,1952,13.1148,14.05651663
6,5,1952,12.98,13.8867975
7,5,1952,12.558,14.79760072
8,5,1952,12.5575,14.87245971
9,5,1952,12.2741,14.67528316
10,5,1952,11.3122,15.48589318
11,5,1952,11.1902,17.00357559
12,5,1952,10.2495,16.57901421
13,5,1952,10.455,15.15120238
14,5,1952,9.18604,13.49044184
15,5,1952,8.17593,12.13090083
16,5,1952,8.02683,11.01487925
17,5,1952,7.03502,10.04372346
18,5,1952,6.7355,9.386622637
19,5,1952,7.15434,8.95470589
20,5,1952,6.94768,8.677422405
21,5,1952,6.50937,8.525558049
22,5,1952,6.5234,8.291742131
23,5,1952,6.65049,7.825158863
24,5,1952,6.20603,7.350820372
25,5,1952,5.68496,7.02285282
26,5,1952,5.54499,6.80900522
27,5,1952,6.15838,6.663060037
28,5,1952,6.12913,6.63533186
29,5,1952,5.90053,6.692724155
30,5,1952,6.26483,7.72834579
